date,close,volume,open,high,low
2017/11/1,166.89,33482970,169.87,169.94,165.61
2017/11/2,168.11,39668100,167.64,168.5,165.28
2017/11/3,172.5,59332210,174,174.26,171.12
2017/11/6,174.25,34770480,172.365,174.99,171.72
2017/11/7,174.81,24332120,173.91,175.25,173.6
2017/11/8,176.24,24358920,174.66,176.24,174.33
2017/11/9,175.88,29422610,175.11,176.095,173.14
2017/11/10,174.67,25129510,175.11,175.38,174.27
2017/11/13,173.97,16956290,173.5,174.5,173.4
2017/11/14,171.34,24683350,173.04,173.48,171.18
2017/11/15,169.08,28998220,169.97,170.3197,168.38
2017/11/16,171.1,23598650,171.18,171.87,170.3
2017/11/17,170.15,21884010,171.04,171.39,169.64
2017/11/20,169.98,16041550,170.29,170.56,169.56
2017/11/21,173.14,25047130,170.78,173.7,170.78
2017/11/22,174.96,25558680,173.36,175,173.05
2017/11/24,174.97,14026670,175.1,175.5,174.6459
2017/11/27,174.09,20591090,175.05,175.08,173.34
2017/11/28,173.07,26387240,174.3,174.87,171.86
2017/11/29,169.48,41459120,172.63,172.92,167.16
2017/11/30,171.85,41484540,170.43,172.14,168.44
2017/12/1,171.05,39735110,169.95,171.67,168.5
2017/12/4,169.8,32512580,172.48,172.62,169.63
2017/12/5,169.64,27315530,169.06,171.52,168.4
2017/12/6,169.01,28397810,167.5,170.2047,166.46
2017/12/7,169.32,25656110,169.03,170.44,168.91
2017/12/8,169.37,23285760,170.49,171,168.82
2017/12/11,172.67,34260890,169.2,172.89,168.79
2017/12/12,171.7,19088170,172.15,172.39,171.461
2017/12/13,172.27,23402510,172.5,173.54,172
2017/12/14,172.22,20442740,172.4,173.13,171.65
2017/12/15,173.97,40122100,173.63,174.17,172.46
2017/12/18,176.42,29385650,174.88,177.2,174.86
2017/12/19,174.54,27393660,175.03,175.39,174.09
2017/12/20,174.35,23451420,174.87,175.42,173.25
2017/12/21,175.01,20848660,174.17,176.02,174.1
2017/12/22,175.01,16339690,174.68,175.424,174.5
2017/12/26,170.57,33113340,170.8,171.47,169.679
2017/12/27,170.6,21477380,170.1,170.78,169.71
2017/12/28,171.08,16412270,171,171.85,170.48
2017/12/29,169.23,25938760,170.52,170.59,169.22
